"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGFBP2",4.54346274113802e-232,1.69429122460157,0.85,0.004,2.81058605166798e-227
"CDX1",2.3126416529984e-230,1.58823154865343,0.857,0.006,1.43060012654481e-225
"TCEA3",5.53758541309622e-220,1.4154997287359,0.85,0.009,3.42555033654132e-215
"S100A16",5.13191012571809e-211,2.16735200358949,0.985,0.04,3.17459960376921e-206
"S100A14",3.88987933151752e-210,2.49163690164265,0.91,0.026,2.40627935447674e-205
"FXYD3",2.86176050671197e-203,2.52249031110798,0.91,0.03,1.77028504945202e-198
"CDX2",2.05071878245774e-199,1.36694390241342,0.812,0.014,1.26857463882836e-194
"CREB3L1",1.43961637150928e-195,1.492547467684,0.789,0.013,8.90546687415639e-191
"EMP2",9.48684730598559e-193,1.09305440804026,0.835,0.02,5.86856374348269e-188
"KLF5",7.24190936809248e-192,1.70834980588046,0.902,0.034,4.47984513510201e-187
"AGR3",3.75889353845844e-191,2.54753793660849,0.94,0.043,2.32525154289039e-186
"SMIM22",6.52084810674331e-191,2.44337813670839,0.977,0.055,4.03379663883141e-186
"ELF3",1.79153043019008e-187,2.51923068838064,1,0.062,1.10824072411558e-182
"ST6GALNAC1",1.53082795507273e-186,2.03641488538117,0.82,0.023,9.46970173007992e-182
"KRT20",1.78978661574562e-185,1.88972718329248,0.767,0.013,1.10716200050024e-180
"CLDN3",7.46642159951855e-184,2.88418641468623,0.947,0.054,4.61872840146217e-179
"CLDN7",3.42090738104564e-183,2.73309277949934,0.97,0.054,2.11617330591483e-178
"SPINK1",4.53334866201881e-183,3.51566078944423,0.97,0.061,2.80432948232483e-178
"MUC5B",2.86016579998022e-182,1.617841963933,0.722,0.009,1.76929856386776e-177
"TMEM98",3.41015789188642e-181,0.847987506698139,0.774,0.017,2.10952367192094e-176
"MAL2",1.94699858967224e-179,1.49589143674801,0.865,0.031,1.20441332757125e-174
"AP1M2",3.14037531046952e-178,0.947039043482602,0.812,0.023,1.94263616705645e-173
"GPX2",2.41275560636459e-177,2.45589205923731,0.962,0.057,1.49253061809713e-172
"NBL1",1.30954483219954e-176,1.50006564917657,0.91,0.045,8.10084433198638e-172
"PPP1R1B",2.74319487761885e-174,1.39115398621364,0.887,0.038,1.69694035129502e-169
"FOXA3",4.8944550109578e-174,0.935936348767392,0.767,0.02,3.0277098697785e-169
"L1TD1",1.07249905649153e-172,1.65691927405694,0.759,0.02,6.63447916345663e-168
"CLDN4",1.77422871539056e-171,2.42613760191989,0.94,0.062,1.0975378833406e-166
"SLC44A4",9.53958328504374e-170,1.03559987627912,0.759,0.02,5.90118622012806e-165
"ZNF703",1.86629650955711e-169,1.02857686127802,0.767,0.022,1.15449102081203e-164
"RAB25",1.9128542299458e-169,1.49917319608719,0.947,0.056,1.18329162664447e-164
"TMEM54",7.19433377272752e-169,2.00227219455559,0.887,0.048,4.45041487180924e-164
"STARD10",1.66145543004849e-168,2.08184498668014,0.962,0.069,1.02777632902799e-163
"H1-0",2.76630135092148e-167,1.48153451494261,0.887,0.045,1.71123401568002e-162
"FAM3D",5.61015964647897e-166,2.21362338583842,0.842,0.04,3.47044475731189e-161
"FAM3B",1.3877240523233e-165,1.21717278574429,0.805,0.032,8.58446098767194e-161
"CDH1",8.51869155361009e-164,0.96126299734168,0.759,0.023,5.2696625950632e-159
"MGST1",1.62468754490969e-163,1.98339438770625,0.94,0.06,1.00503171528113e-158
"KRTCAP3",4.7827263676784e-163,1.23226491611405,0.82,0.033,2.95859453104586e-158
"RNASE1",3.35420783978963e-162,1.15927599275777,0.744,0.023,2.07491296969387e-157
"CEACAM5",7.58455333759352e-162,3.05239315546752,0.865,0.051,4.69180469463535e-157
"TSPAN8",2.42395466876076e-161,3.73444204178657,0.932,0.075,1.4994583580954e-156
"PERP",5.63215579267891e-160,1.91690445587186,0.932,0.061,3.48405157335118e-155
"MDK",6.52417504712782e-160,2.59167626030773,0.895,0.057,4.03585468415327e-155
"FUT3",9.78358103344895e-160,0.723307414044114,0.632,0.007,6.05212322729152e-155
"TSPAN1",1.60390784283065e-159,2.45135000246246,0.842,0.046,9.92177391575041e-155
"LGALS4",2.88513274759558e-159,4.56658815349942,0.992,0.11,1.78474311766263e-154
"SMIM31",4.04679157478271e-159,0.912398699578804,0.692,0.015,2.50334526816059e-154
"CDC42EP5",5.9885121926963e-159,1.1695143623311,0.812,0.034,3.70449364240193e-154
"KLF4",1.34386323308683e-158,1.24779082823039,0.865,0.047,8.31313795987511e-154
"KRT19",1.74600524630457e-158,2.92063082910609,0.955,0.079,1.08007884536401e-153
"EPCAM",2.38869996505041e-158,3.77542438630235,0.977,0.098,1.47764979838018e-153
"PLEK2",3.05667190813344e-158,0.918678960517756,0.744,0.024,1.89085724237135e-153
"ELAPOR1",3.98473480534097e-158,1.04539910024711,0.729,0.021,2.46495695058393e-153
"DSG2",1.86563695506298e-157,1.10468042888029,0.805,0.034,1.15408302040196e-152
"LGALS3BP",3.81118730134804e-157,1.95749546796836,0.925,0.069,2.3576004646139e-152
"C19orf33",1.93137653126133e-156,1.98438221757374,0.865,0.048,1.19474952223826e-151
"ESRP1",4.1113374920056e-156,0.780645607996224,0.707,0.019,2.54327337255467e-151
"CKMT1B",9.00897386943379e-156,0.746101755933953,0.677,0.015,5.57295123563174e-151
"PCCA",1.07142503752733e-155,2.50525286671076,0.857,0.057,6.62783528214406e-151
"NPDC1",1.40585507845425e-155,1.72280574250383,0.827,0.045,8.69661951531798e-151
"TPM1",2.27990954735873e-155,2.24451623129553,0.985,0.099,1.41035204599611e-150
"SPDEF",3.51983829760073e-155,1.10740954987382,0.632,0.009,2.17737197089581e-150
"FHL2",5.48563801963504e-155,1.61153025419267,0.85,0.045,3.39341567894624e-150
"EHF",2.48219321104148e-154,1.1047865816135,0.805,0.037,1.53548472035026e-149
"RARRES1",2.97361224879912e-154,1.70575641579136,0.722,0.023,1.83947653710713e-149
"MUC4",3.14394918652774e-153,0.742390526951059,0.602,0.006,1.94484696678606e-148
"PPIC",3.80913469708383e-153,1.15341591009813,0.797,0.035,2.35633072361606e-148
"CDH17",3.91110174619654e-153,1.06893445699237,0.759,0.028,2.41940754019718e-148
"CLRN3",1.33729727159555e-152,0.723996652441863,0.632,0.01,8.27252092209007e-148
"LRRC26",2.21129602958249e-152,1.01526385103208,0.617,0.008,1.36790772389973e-147
"NQO1",9.59999607971577e-150,1.65207876846348,0.85,0.052,5.93855757491217e-145
"LRATD1",1.34733867713918e-149,0.808181575079284,0.632,0.012,8.33463705678298e-145
"LINC00261",8.31449113429939e-149,1.28600135728673,0.632,0.013,5.14334421567761e-144
"STAP2",9.48674054695642e-149,0.701372343454105,0.654,0.015,5.86849770234724e-144
"KRT18",1.09253683288598e-148,3.35631214782331,0.992,0.105,6.75843284823269e-144
"S100P",2.17195891739705e-147,2.82468766845788,0.88,0.06,1.34357378630181e-142
"C9orf152",8.9572044328327e-147,0.798093578310981,0.617,0.011,5.54092666215031e-142
"MAP7",1.04464289098655e-146,0.719145011174795,0.692,0.022,6.46216092364279e-142
"MUC13",2.12838244462222e-146,1.59506142679015,0.752,0.034,1.31661738024331e-141
"VIL1",5.38311617065934e-146,0.888763006766936,0.714,0.026,3.32999566316987e-141
"SOD3",1.11201012756928e-145,0.694373799968822,0.609,0.009,6.87889464914356e-141
"IFI27",3.30607997921907e-145,3.32762984518357,0.962,0.099,2.04514107514492e-140
"SOX9",5.95134467102459e-145,0.973722003969568,0.714,0.027,3.68150181349581e-140
"ALDH1A1",6.16334939949814e-145,1.42595322153394,0.797,0.043,3.81264793852955e-140
"SBSPON",3.90515374170968e-144,0.932334931307409,0.526,0.001,2.41572810462161e-139
"CCL24",9.36413839062704e-144,1.32419121531587,0.571,0.006,5.79265600844189e-139
"AKR7A3",9.26336951811405e-143,0.832656352501559,0.624,0.014,5.73032038390535e-138
"SERPINA1",1.52548198266023e-142,3.23915024441538,0.805,0.053,9.43663154473619e-138
"SCNN1A",6.42516358642714e-142,0.80785324531994,0.654,0.018,3.97460619456383e-137
"TFF2",9.05140966613707e-142,2.83083105373225,0.571,0.008,5.59920201947239e-137
"DSP",2.72204455819558e-141,0.924803981534336,0.714,0.029,1.68385676369978e-136
"LAD1",2.74891072269676e-141,0.890918271635411,0.737,0.03,1.70047617306021e-136
"ASS1",1.09326583350203e-140,1.12701804497288,0.805,0.044,6.76294244604358e-136
"APP",1.34533155029158e-140,1.38944957954886,0.88,0.066,8.32222097010373e-136
"PRSS8",1.6083536449803e-140,0.877122617643973,0.662,0.02,9.94927564784816e-136
"MT1E",1.94699365687972e-140,2.18983249323597,0.842,0.064,1.20441027614579e-135
"ENSG00000272763",4.45678326073057e-140,0.967039477298155,0.737,0.033,2.75696612508793e-135
"PHLDA2",5.35914696248725e-140,1.62884703450689,0.827,0.052,3.31516831099461e-135
"AGR2",1.51203949582933e-139,4.56672612077771,0.977,0.124,9.35347632120023e-135
"ANXA13",2.17346558611965e-139,1.02241655271595,0.526,0.003,1.34450581157362e-134
"HSD11B2",4.92729066030407e-139,0.819675686998376,0.579,0.009,3.0480220024641e-134
"PKP3",8.1645741441632e-139,0.792929823652045,0.714,0.03,5.05060556557936e-134
"IFITM3",9.32577578980242e-139,1.90560631991618,0.947,0.081,5.76892490357178e-134
"KRT8",1.446547781351e-137,3.39068927843835,0.992,0.13,8.94834457543726e-133
"CKMT1A",1.8933254494014e-137,0.67352778481601,0.571,0.009,1.1712111229997e-132
"MISP",2.09841912175488e-137,0.934453593827274,0.699,0.029,1.29808206871757e-132
"CCND1",6.7519701717335e-137,1.10921192856633,0.759,0.039,4.17676874823434e-132
"TCIM",4.96470567245271e-136,1.05410982969431,0.624,0.018,3.07116692897925e-131
"FFAR4",1.58185842735392e-135,0.837547345656926,0.571,0.01,9.78537623161137e-131
"ETS2",2.54810866632948e-135,1.32019233855493,0.835,0.061,1.57626002099142e-130
"MLPH",2.98476385332791e-135,0.909126269414285,0.654,0.023,1.84637491966865e-130
"ANG",6.73955921739121e-135,1.34506659233024,0.812,0.06,4.1690913318782e-130
"TGFBI",3.96519315043185e-134,1.45138561012522,0.699,0.032,2.45286848285714e-129
"CMBL",1.22080975107585e-133,0.838847574191373,0.722,0.034,7.55192912015524e-129
"LMNA",2.09676539573493e-132,1.57969651436572,0.91,0.088,1.29705907380163e-127
"CEACAM6",3.9061014645727e-132,1.73701230546578,0.579,0.013,2.41631436598467e-127
"PIGR",7.11040340658137e-132,3.20220149916986,0.94,0.117,4.39849554731123e-127
"USH1C",1.11560477037215e-131,0.610857791790417,0.624,0.018,6.9011311095221e-127
"POF1B",5.32614051047694e-131,0.52392278711126,0.586,0.013,3.29475051978103e-126
"PTPRF",1.07815659293262e-130,0.667198404202891,0.617,0.019,6.6694766838812e-126
"ANXA3",2.49241138892784e-130,0.982647274264094,0.684,0.028,1.54180568519076e-125
"SLC9A3R2",1.36819800736484e-129,0.645836511250331,0.579,0.014,8.46367287355888e-125
"SNHG18",3.86756293546193e-129,0.581441585577828,0.579,0.014,2.39247443187675e-124
"KLK12",5.76852321637809e-129,1.55227137941641,0.481,0.002,3.56840846165148e-124
"REP15",9.30011850446925e-129,1.09479017385742,0.489,0.003,5.75305330686468e-124
"MATN2",2.22926421238962e-128,0.503717224496112,0.489,0.003,1.37902284178422e-123
"MUC3A",1.08332785379027e-127,0.77712046571434,0.639,0.024,6.70146610354661e-123
"CD151",1.42221929208778e-127,1.21082450075403,0.857,0.076,8.79784854085502e-123
"TFF1",3.78042685026121e-127,4.42447951147942,0.797,0.067,2.33857204957158e-122
"C15orf48",6.67890047649431e-126,2.65284555653193,0.857,0.084,4.13156783475938e-121
"CNN3",1.30141614456158e-125,0.844594292367649,0.654,0.028,8.05056027025794e-121
"GDF15",4.295459308706e-125,1.36924659841811,0.692,0.035,2.65717112836553e-120
"PLPP2",8.51109435580365e-125,1.13046127358653,0.797,0.059,5.26496296850014e-120
"RAB13",5.50116482649139e-124,1.00977602687717,0.835,0.069,3.40302056166757e-119
"RBM47",2.22279247322883e-123,0.813445388093054,0.774,0.054,1.37501942393935e-118
"LCN2",7.71080229473597e-123,0.823540974669129,0.812,0.063,4.76990229952367e-118
"SLC44A3",1.00487246900542e-122,0.498541680525041,0.534,0.011,6.21614109326753e-118
"GSTO2",1.67219371162746e-122,0.656531201382908,0.647,0.029,1.03441903001274e-117
"ATOH1",3.16141057076999e-122,0.823055359235403,0.474,0.003,1.95564857907831e-117
"ITGA6",5.28171645352047e-122,1.03476911629303,0.759,0.054,3.26726979814776e-117
"KLK1",5.79069159001926e-122,2.85852160596896,0.887,0.106,3.58212181758591e-117
"ARSL",7.9449644751967e-122,0.867227945077637,0.647,0.028,4.91475502435668e-117
"PKP2",9.83282798813181e-122,0.722417753788673,0.617,0.023,6.08258739345834e-117
"AOC1",2.62401454697631e-121,0.722975269387564,0.579,0.018,1.62321539875955e-116
"CST3",2.55047975216449e-120,1.63790871161117,0.977,0.14,1.57772677468896e-115
"HOXB6",3.18043559701601e-120,0.660798180502634,0.602,0.022,1.9674174603141e-115
"SERINC2",9.90373923786423e-120,1.25476645128507,0.85,0.082,6.12645309254281e-115
"GPA33",3.29067511004309e-119,0.730000051827545,0.541,0.013,2.03561162307266e-114
"ATP8B1",1.25177881011226e-117,0.694916290512628,0.617,0.028,7.74350371935442e-113
"MUC2",1.35071571120439e-117,3.37330597260109,0.789,0.083,8.35552738951033e-113
"CRB3",3.63836615295578e-117,0.602967228194978,0.632,0.028,2.25069330221844e-112
"CTBP2",1.72373194942124e-116,0.663270854130795,0.632,0.029,1.06630058391198e-111
"REG4",3.86984718849784e-116,4.65561990501276,0.789,0.084,2.39388747080476e-111
"B3GNT3",1.1431143387403e-115,0.578047425836302,0.541,0.016,7.07130529944751e-111
"HOXB9",1.63128796747089e-115,0.655578616570299,0.504,0.01,1.00911473667749e-110
"SELENBP1",2.01797608421295e-115,0.743942332823935,0.549,0.017,1.24832000569413e-110
"PDZK1IP1",2.12451551180736e-115,1.08296850281783,0.639,0.03,1.31422529560403e-110
"TSPAN15",2.82954334913525e-115,0.613141276423576,0.602,0.025,1.75035551577507e-110
"NOXO1",3.73140614507073e-115,0.548613848729082,0.496,0.009,2.30824784134075e-110
"PLCB4",6.26145031260563e-115,0.470775893153947,0.511,0.011,3.87333316337784e-110
"SERPINB6",1.30400903635006e-114,1.52277732352083,0.895,0.113,8.06659989886147e-110
"PON2",1.40218672182313e-114,0.827400967024568,0.789,0.063,8.67392706119786e-110
"ZG16B",3.55671107201206e-114,0.80506482764427,0.474,0.007,2.20018146914666e-109
"ATP2C2",1.14052434987925e-113,0.393458453161509,0.451,0.004,7.05528362835303e-109
"CXADR",1.63241394840891e-113,0.693147623125563,0.571,0.022,1.00981126848575e-108
"MGST2",1.15665874596681e-112,1.36905718561524,0.932,0.13,7.15509100255069e-108
"ACTN1",1.43584671593488e-112,0.694154423825967,0.699,0.044,8.88214778477316e-108
"PRR15L",2.26877054807353e-112,0.826351359318866,0.602,0.028,1.40346146103828e-107
"MAOA",3.1783829558619e-112,0.66595802393164,0.519,0.013,1.96614769649617e-107
"FOXA2",3.08145838436855e-110,0.590447401982547,0.519,0.015,1.90619015657039e-105
"DDAH1",3.69299962228071e-110,0.509173490502466,0.609,0.029,2.28448956634285e-105
"FERMT1",5.17227939117687e-110,0.542091102097684,0.609,0.029,3.19957203138201e-105
"GALNT3",7.73583365566698e-110,0.701691248801711,0.617,0.033,4.78538669939559e-105
"PLA2G2A",1.10728210186694e-109,2.48466690267533,0.722,0.056,6.84964708214888e-105
"KLK11",2.12541910652279e-109,0.828133112953436,0.429,0.003,1.314784259295e-104
"TMEM61",2.45435242166199e-109,0.517938069791489,0.421,0.003,1.51826240804011e-104
"MUC1",2.48508845730397e-109,0.876924069297409,0.639,0.035,1.53727571968824e-104
"CRACR2B",2.91146792152783e-109,0.922978453965779,0.744,0.064,1.80103405625712e-104
"PROM1",8.97374808902631e-109,0.537906330937367,0.466,0.008,5.55116056787167e-104
"SCD",2.3166202836112e-108,0.917224108775979,0.594,0.029,1.43306130744189e-103
"EPS8L3",1.03418510385187e-107,0.591296379401733,0.541,0.02,6.39746905242767e-103
"ARHGAP32",1.44885189287847e-107,0.499821157264661,0.526,0.018,8.96259780934621e-103
"FCGBP",1.89070252313212e-107,2.82178454618188,0.865,0.125,1.16958858080953e-102
"SPINK4",2.73898758977442e-107,6.05746933602462,0.917,0.171,1.69433772303446e-102
"CMTM8",7.14352718647537e-107,0.54113783352756,0.639,0.038,4.41898591755367e-102
"AKR1C3",9.23022178140767e-107,1.24735082255561,0.624,0.036,5.70981519397878e-102
"SHROOM3",1.62366967074791e-106,0.525455896022035,0.526,0.018,1.00440205832466e-101
"ERN2",2.13228018507473e-106,0.483168073510432,0.511,0.016,1.31902852248723e-101
"GNAQ",2.52826142033865e-106,0.556605928508451,0.609,0.033,1.56398251462149e-101
"LGALS3",3.21444589841557e-106,3.24685529580677,0.955,0.21,1.98845623275987e-101
"MYO10",6.6844099859019e-106,0.514490525142378,0.571,0.026,4.13497601727892e-101
"HEPACAM2",8.07417250541292e-106,1.13339365294974,0.436,0.006,4.99468311184843e-101
"HES1",2.69457498269875e-105,1.68475095111154,0.835,0.104,1.66686408429744e-100
"ATP1B1",6.92537272281411e-105,2.60517232515756,0.91,0.163,4.28403556633281e-100
"PHGR1",3.1974494015343e-104,4.03298842505635,0.97,0.246,1.97794219978912e-99
"GFPT1",2.4103656874545e-103,0.981771661569824,0.827,0.094,1.49105221425935e-98
"PRSS3",2.48498956073123e-103,1.1067141079103,0.639,0.04,1.53721454226834e-98
"HNMT",5.92268827203031e-103,0.626458856757188,0.624,0.038,3.66377496507795e-98
"TM4SF5",6.25391668143558e-103,0.656412804547286,0.496,0.016,3.86867285913605e-98
"CD9",1.7961527990486e-102,2.36724844528273,0.985,0.239,1.11110012149146e-97
"IRS2",7.18145570316474e-102,0.717908963385325,0.639,0.043,4.44244849797771e-97
"ANXA4",8.79388087996495e-102,1.45694591582978,0.895,0.129,5.43989471234632e-97
"TRIM2",9.85367737465007e-102,0.455491912925955,0.519,0.02,6.09548482395853e-97
"PLBD1",4.40817263123493e-101,0.676611477590897,0.647,0.044,2.72689558968193e-96
"SFN",5.11740988546843e-101,0.97880181117894,0.624,0.038,3.16562975515077e-96
"NECTIN2",1.10138818955311e-100,0.619417102392557,0.602,0.034,6.81318734057552e-96
"GOLM1",1.25179074937271e-100,0.910911572780874,0.579,0.033,7.74357757561956e-96
"S100A13",1.88901560598108e-100,1.03502016872807,0.789,0.087,1.16854505385989e-95
"TINAGL1",4.11875332011201e-100,0.549871221170269,0.541,0.025,2.54786080382129e-95
"ABCC3",7.92814739364258e-100,0.611177194317642,0.556,0.028,4.9043519777073e-95
"SH3BGRL2",8.30963385654101e-100,0.436261723578615,0.481,0.015,5.14033950365627e-95
"TFF3",9.05468298981069e-100,6.26401534458313,0.962,0.254,5.60122689749689e-95
"PCSK1",5.58421384162574e-99,1.07081628036187,0.391,0.003,3.45439468242968e-94
"ARFGEF3",9.83716956464929e-99,0.466916670113352,0.436,0.009,6.08527309269205e-94
"FIBCD1",1.27351208519518e-98,0.494314545329555,0.383,0.003,7.87794575901735e-94
"GALNT7",1.41386142496444e-98,0.688925421860568,0.669,0.052,8.74614677483004e-94
"EFNA1",1.50098324758273e-98,0.481062722114328,0.504,0.019,9.28508236954675e-94
"CTTN",1.69688800449605e-98,0.595687886960299,0.662,0.05,1.04969491958126e-93
"OTULINL",2.50666242126968e-98,0.587510700822334,0.609,0.036,1.55062137379742e-93
"LYZ",4.67816341685216e-98,0.788975036142995,0.782,0.076,2.89391188966475e-93
"TCN1",5.78516588339811e-98,1.55229238532135,0.511,0.022,3.57870361547007e-93
"TOM1L1",9.53338036652968e-98,0.406418120369634,0.496,0.018,5.89734909473526e-93
"LIPH",1.01036340756309e-97,0.557431726788766,0.496,0.018,6.2501080391853e-93
"TSPAN6",1.94358711275255e-97,0.538765134440505,0.504,0.02,1.20230298794873e-92
"TDGF1",3.59105227239094e-97,0.355642706004819,0.353,0,2.22142493570104e-92
"MGST3",3.82962141240791e-97,1.85082098789774,0.947,0.201,2.36900380571553e-92
"TPSG1",4.17691569073714e-97,0.855085451694757,0.391,0.004,2.58384004628999e-92
"MYH14",8.35225807338006e-97,0.541874169274932,0.526,0.024,5.1667068441929e-92
"FABP2",2.32065762802778e-96,1.43311407418144,0.624,0.048,1.43555880869799e-91
"CKAP4",3.1111092803756e-96,0.976617515866706,0.805,0.105,1.92453220084035e-91
"TMC4",5.27654830625059e-96,0.440476765100685,0.489,0.018,3.26407278224661e-91
"MANSC1",8.5194597770062e-96,0.415865971366923,0.504,0.021,5.27013781805604e-91
"WFDC2",1.26980598276397e-95,1.45266239314824,0.398,0.006,7.85501980937793e-91
"HOXA10",1.30557819759527e-95,0.569869411670867,0.519,0.024,8.07630673032434e-91
"TMEM141",2.07185808572834e-95,2.11763678689228,0.977,0.262,1.28165141183155e-90
"B3GNT6",4.49457257991843e-95,0.409059293383386,0.346,0,2.78034259793754e-90
"ARHGEF16",4.77923737055573e-95,0.353149588533808,0.436,0.011,2.95643623742577e-90
"CDS1",5.52624541941549e-95,0.345685228611878,0.398,0.006,3.41853541645042e-90
"VSIG2",8.48357046628721e-95,0.487130420481811,0.368,0.003,5.24793669044527e-90
"RAP1GAP",9.2089333148998e-95,0.492610408376346,0.383,0.004,5.69664614859702e-90
"RHOC",1.76151464412442e-94,1.193439659233,0.85,0.108,1.08967295885537e-89
"SLC12A2",3.50737577861271e-94,1.5134314573069,0.857,0.136,2.16966265664982e-89
"KCNK1",6.39969098604799e-94,0.493076884295743,0.511,0.023,3.95884884396929e-89
"ETHE1",6.61493506039354e-94,1.39251156122417,0.94,0.17,4.09199882835944e-89
"TRIM7",1.32493014070675e-93,0.409242947314191,0.436,0.012,8.19601785041198e-89
"EPHB2",1.58754338122127e-93,0.497415527539065,0.481,0.018,9.82054335623476e-89
"CAPN8",3.33611027202098e-93,0.488419750205579,0.504,0.023,2.06371781427218e-88
"MUC6",5.58611517882997e-93,0.64856343487153,0.338,0,3.45557084962422e-88
"HOXA9",6.72130336745277e-93,0.554948023616139,0.541,0.029,4.15779826310628e-88
"SHD",7.13745507440051e-93,0.321422224899249,0.346,0.001,4.41522970902415e-88
"GJB1",9.53861012651854e-93,0.355337366880737,0.353,0.002,5.90058422426437e-88
"RCN1",1.29278481039291e-92,0.894956298801939,0.767,0.092,7.99716683709052e-88
"COL16A1",1.79918993913223e-92,0.714765384448374,0.368,0.003,1.1129788963472e-87
"DSC2",2.54132843855381e-92,0.525055282144783,0.504,0.023,1.57206577208939e-87
"CLDN12",3.44287385201557e-92,0.348630020340351,0.414,0.009,2.12976176485683e-87
"BACE2",4.65983604874755e-92,1.02672887113261,0.752,0.084,2.88257457975524e-87
"GALNT5",9.50928716584021e-92,0.434759104470937,0.489,0.021,5.88244504078875e-87
"KLF3",1.14374661840195e-91,0.595921315209892,0.594,0.041,7.07521658143448e-87
"LINC01133",1.54143403856887e-91,0.734265013507411,0.444,0.013,9.53531096258702e-87
"SPATS2L",3.74760867817021e-91,0.902751103513849,0.692,0.066,2.31827072831609e-86
"TTC39A",5.40805963418606e-91,0.314253070163221,0.376,0.005,3.3454256897075e-86
"RETNLB",8.02128084818832e-91,2.24790114439387,0.406,0.009,4.96196433268929e-86
"DPEP1",1.19817569614931e-90,1.60506053575933,0.586,0.043,7.41191485637963e-86
"ENTPD2",1.38780115139545e-90,0.37693731405616,0.376,0.005,8.58493792253226e-86
"LINC01610",2.09526783677442e-90,1.49892048821893,0.511,0.028,1.29613268382866e-85
"CCL15",2.45682255018868e-90,0.37624043160712,0.368,0.004,1.51979042954672e-85
"IL13RA1",3.47466555991858e-90,0.643652296355953,0.594,0.043,2.14942811536563e-85
"CDC42EP1",7.14946395382677e-90,0.532309053314616,0.564,0.034,4.42265840183724e-85
"NIBAN2",9.04188707934444e-90,0.335011552041888,0.459,0.017,5.59331134728247e-85
"KCNE3",2.24505956037107e-89,0.578147655243051,0.481,0.022,1.38879384404554e-84
"TMEM176B",3.56610706502024e-89,0.930859799469764,0.654,0.058,2.20599383042152e-84
"TIMP1",3.71107283959559e-89,1.49795593873076,0.82,0.12,2.29566965857383e-84
"TC2N",7.0797173813733e-89,0.606609903642223,0.579,0.04,4.37951317211752e-84
"SMIM3",9.03819341172022e-89,0.370393929794496,0.459,0.018,5.59102644449013e-84
"SYNGR4",1.287714376292e-88,0.652972302586361,0.331,0.001,7.96580113174233e-84
"SP5",1.39798163919441e-88,0.355188187970343,0.361,0.004,8.64791442005659e-84
"CTNNA1",1.67366202283276e-88,0.792459489084667,0.782,0.096,1.03532732732434e-83
"NXPE1",1.90271109903804e-88,0.390479082543352,0.338,0.002,1.17701708586493e-83
"RBBP8NL",2.03161545018898e-88,0.296890903854953,0.331,0.001,1.2567573174869e-83
"SPR",2.03504446925472e-88,0.518231801056393,0.549,0.036,1.25887850868097e-83
"MARVELD3",3.04478638749813e-88,0.450540634410813,0.436,0.015,1.88350485930635e-83
"TMEM125",3.82970842473225e-88,0.485284114057292,0.481,0.023,2.36905763153937e-83
"FKBP10",5.3036845162342e-88,0.337876755001455,0.376,0.006,3.28085924174248e-83
"QSOX1",6.16745970118849e-88,1.04976676940982,0.729,0.085,3.8151905711552e-83
"TMPRSS4",7.57397224169141e-88,0.449569975892462,0.474,0.021,4.6852592287103e-83
"ADIRF",8.69260547015181e-88,1.03374773726358,0.654,0.06,5.37724574383591e-83
"ERBB3",8.77317564373736e-88,0.563924460578094,0.556,0.037,5.42708645321593e-83
"NECTIN1",1.34648176062777e-87,0.324930531840533,0.391,0.008,8.3293361712434e-83
"DNAJC12",2.5423939534398e-87,0.596728552766125,0.451,0.018,1.57272489959786e-82
"ITLN1",2.97388230975681e-87,2.66388071004552,0.526,0.034,1.83964359681556e-82
"SDR16C5",3.14026814082704e-87,0.515109576124183,0.511,0.028,1.9425698719156e-82
"TCF7L2",6.86049523364846e-87,0.468902975746807,0.504,0.027,4.24390235153494e-82
"CERS6",7.49338232469135e-87,0.510057996722074,0.541,0.033,4.63540630605407e-82
"EPHX2",8.67780337423117e-87,0.506021997872206,0.564,0.039,5.3680891672994e-82
"MTUS1",1.6384775432791e-86,0.604156745612554,0.526,0.032,1.01356220827245e-81
"PLS1",1.89716595197254e-86,0.586158266911776,0.534,0.034,1.17358685789021e-81
"ASPH",1.92705094658809e-86,1.5004733323946,0.842,0.145,1.19207371555939e-81
"TGIF1",2.5133132806595e-86,0.91727128013448,0.752,0.088,1.55473559541597e-81
"NCKAP1",3.07205098789564e-86,0.415855939242389,0.496,0.027,1.90037074111224e-81
"MBOAT2",3.92040528102468e-86,0.596706507160786,0.571,0.042,2.42516270684187e-81
"ACSS2",5.31233268116873e-86,0.405880844563613,0.474,0.023,3.28620899657097e-81
"NEBL",5.46918788439737e-86,0.333809467712794,0.391,0.009,3.38323962528821e-81
"NR2F2",5.55028005401677e-86,0.406741616612133,0.429,0.015,3.43340324141477e-81
"TSC22D1",6.19487752310571e-86,1.21818394970815,0.872,0.143,3.83215123579319e-81
"PAPSS2",8.5163727171404e-86,0.417760817677594,0.466,0.021,5.26822816282305e-81
"SNORC",1.1918432934708e-85,0.531158895915,0.496,0.026,7.37274261341035e-81
"C10orf99",1.91112269328672e-85,0.72832590788916,0.368,0.007,1.18222049806717e-80
"EFNB2",1.99463451309273e-85,0.439450710516263,0.474,0.023,1.23388090979916e-80
"LLGL2",3.0565453263055e-85,0.486954623644717,0.549,0.037,1.89077893885258e-80
"MECOM",4.16039014004323e-85,0.381925624989504,0.459,0.02,2.57361734063074e-80
